timestep,episode_reward
0,0.1111111111111111
512,-84.66666666666555
1024,-64.44444444444326
1536,-74.5555555555544
2048,-114.99999999999885
2560,-114.99999999999886
3072,-104.88888888888803
3584,-135.22222222222103
4096,-135.22222222222103
4608,-94.7777777777766
5120,-84.66666666666568
5632,-74.55555555555466
6144,-84.66666666666553
6656,-64.44444444444346
7168,-64.44444444444369
7680,-64.44444444444323
8192,-84.66666666666583
8704,-94.77777777777712
9216,-135.22222222222106
9728,-94.77777777777709
10240,-64.44444444444397
10752,-34.11111111111077
11264,-74.55555555555438
11776,-44.22222222222216
12288,-135.22222222222112
12800,-64.44444444444377
13312,-74.55555555555513
13824,-74.55555555555438
